Date,Type,number,change,growth,log_RR,country
2020-03-22,intensive,46,4,0.09523809523809523,0.03950854128367365,Denmark
2020-03-23,intensive,55,9,0.1956521739130435,0.07760485781266976,Denmark
2020-03-24,intensive,69,14,0.2545454545454545,0.09848640124301143,Denmark
2020-03-25,intensive,87,18,0.2608695652173913,0.10067016188136323,Denmark
2020-03-26,intensive,94,7,0.08045977011494253,0.03360860098108014,Denmark
2020-03-27,intensive,109,15,0.1595744680851064,0.06429864434092496,Denmark
2020-03-28,intensive,121,12,0.11009174311926606,0.04535887237582645,Denmark
2020-03-29,intensive,131,10,0.08264462809917356,0.03448592533931416,Denmark
2020-03-30,intensive,137,6,0.04580152671755725,0.01944927150064254,Denmark
2020-03-31,intensive,145,8,0.058394160583941604,0.024647435078568095,Denmark
2020-04-01,intensive,146,1,0.006896551724137931,0.00298485354946221,Denmark
2020-04-02,intensive,153,7,0.04794520547945205,0.020338575033161693,Denmark
2020-04-03,intensive,143,-10,-0.06535947712418301,-0.029355393352536986,Denmark
2020-04-04,intensive,142,-1,-0.006993006993006993,-0.003047693082005322,Denmark
